address,county,region,house_area_m2,rooms,maintenance_fee,sold_price,sold_date,price_change_perc,price_per_m2,housing_type,other_usable_area
Vidblicksgatan 3,Göteborgs kommun,Nedre Johanneberg,73.0,3.0,3602.0,5850000.0,5 may 2022,0.0,80137.0,Lägenhet,
Sixten Camps gata 8,Göteborgs kommun,Nya Gårda,86.0,3.0,5004.0,4680000.0,5 may 2022,8.0,54419.0,Lägenhet,
Skillnadsgatan 58B,Göteborgs kommun,Örgryte - Bö,48.0,2.0,3195.0,2860000.0,5 may 2022,17.0,59583.0,Lägenhet,
Fyrmästaregången 16,Göteborgs kommun,Masthugget,31.0,1.0,1970.0,2400000.0,5 may 2022,12.0,77419.0,Lägenhet,
Monsungatan 108,Göteborgs kommun,Eriksberg,54.0,2.0,2547.0,4200000.0,5 may 2022,5.0,77778.0,Lägenhet,
Skogsmilsgatan 17,Göteborgs kommun,Högsbo,39.0,2.0,2719.0,2100000.0,5 may 2022,17.0,53846.0,Lägenhet,
Monsungatan 77,Göteborgs kommun,Eriksberg,62.0,2.0,3482.0,5200000.0,5 may 2022,8.0,83871.0,Lägenhet,
Krokelyckan 36,Göteborgs kommun,Grimmered,128.0,5.0,,7110000.0,5 may 2022,,,Radhus,0
Geijersgatan 16,Göteborgs kommun,Lorensberg,29.0,1.5,1353.0,3275000.0,5 may 2022,17.0,112931.0,Lägenhet,
Basungatan 26,Göteborgs kommun,Västra Frölunda,54.0,2.0,3375.0,2050000.0,5 may 2022,3.0,37963.0,Lägenhet,
Nordhemsgatan 60,Göteborgs kommun,Linné,56.0,2.0,2215.0,4700000.0,5 may 2022,18.0,83929.0,Lägenhet,
Uggledalsvägen 71,Göteborgs kommun,Billdal/Uggledal,82.0,4.0,4857.0,5200000.0,5 may 2022,1.0,63415.0,Lägenhet,
Arvid Lindmansgatan 25F,Göteborgs kommun,Tolered Bjurslätt,54.0,2.0,3322.0,1835000.0,5 may 2022,5.0,33981.0,Lägenhet,
Vaktmästaregången 3,Göteborgs kommun,Masthugget,61.5,2.0,3523.0,3150000.0,5 may 2022,6.0,51220.0,Lägenhet,
Lindholmsallén 59,Göteborgs kommun,Lindholmen,93.0,4.0,5735.0,5600000.0,5 may 2022,,60215.0,Lägenhet,
Iskällareliden 1B,Göteborgs kommun,Örgryte,70.0,3.0,4323.0,5150000.0,5 may 2022,,73571.0,Lägenhet,
Kobbarnas Väg 3,Göteborgs kommun,Olskroken,52.9,2.0,1831.0,3200000.0,5 may 2022,,60491.0,Lägenhet,
Schéelegatan 5B,Göteborgs kommun,Lunden,41.0,2.0,2779.0,2450000.0,5 may 2022,2.0,59756.0,Lägenhet,
Hjäleviken 8B,Göteborgs kommun,Styrsö Tången,57.0,2.0,3162.0,2800000.0,5 may 2022,4.0,49123.0,Lägenhet,
Birkagatan 22C,Göteborgs kommun,Örgryte,9.0,3.0,2848.0,5100000.0,5 may 2022,23.0,82258.0,Lägenhet,
Övre Husargatan 31,Göteborgs kommun,Linné,90.6,4.0,5233.0,6750000.0,5 may 2022,8.0,74503.0,Lägenhet,
Gaterseredsvägen 50,Göteborgs kommun,Billdal,147.0,6.0,,7100000.0,5 may 2022,-3.0,,Villa,0
Lotta Svärdsgatan 3B,Göteborgs kommun,Gamlestaden,41.4,2.0,2966.0,1855000.0,5 may 2022,6.0,44807.0,Lägenhet,
Sofiagatan 50C,Göteborgs kommun,Strömmensberg,72.3,3.0,5192.0,4900000.0,5 may 2022,15.0,67773.0,Lägenhet,
Karlagatan 12A,Göteborgs kommun,Lunden,62.0,2.0,3794.0,3650000.0,5 may 2022,,58871.0,Lägenhet,
Hjorthagsgatan 10 D,Göteborgs kommun,Gamla Masthugget,40.6,2.0,2743.0,3060000.0,5 may 2022,23.0,75369.0,Lägenhet,
Haråsgatan 3,Göteborgs kommun,Majorna,54.0,2.0,3210.0,3775000.0,5 may 2022,20.0,69907.0,Lägenhet,
Fastlagsgatan 4,Göteborgs kommun,Kortedala,54.0,2.0,3980.0,1650000.0,4 may 2022,0.0,30556.0,Lägenhet,
Svarte Filips gata 45,Göteborgs kommun,Angered - Lövgärdet,120.0,4.0,5714.0,2800000.0,4 may 2022,8.0,23333.0,Radhus,0
Björcksgatan 64 B,Göteborgs kommun,Kålltorp,38.4,2.0,2377.0,2350000.0,4 may 2022,4.0,61198.0,Lägenhet,
Söndagsgatan 13,Göteborgs kommun,Kortedala,53.0,2.0,3620.0,1700000.0,4 may 2022,26.0,32075.0,Lägenhet,
Viktor Rydbergsgatan 46,Göteborgs kommun,Nedre Johanneberg,66.0,2.0,3775.0,5000000.0,4 may 2022,,75758.0,Lägenhet,
Sologången Lott 76,Göteborgs kommun,Torslanda - Säve,,,,900000.0,4 may 2022,0.0,,Fritidshus,0
De Geersgatan 16,Göteborgs kommun,Lunden,52.5,2.0,3502.0,3150000.0,4 may 2022,7.0,60000.0,Lägenhet,
Vaktmästaregången 13,Göteborgs kommun,Masthugget,73.0,3.0,4102.0,5000000.0,4 may 2022,35.0,68493.0,Lägenhet,
Björnekärrsgatan 6C,Göteborgs kommun,Gamlestaden,58.0,2.0,3372.0,2425000.0,4 may 2022,6.0,41810.0,Lägenhet,
Nilssonsberg 16,Göteborgs kommun,Linné,74.0,3.0,3573.0,5380000.0,4 may 2022,23.0,72703.0,Lägenhet,
Krossholmsvägen 65,Göteborgs kommun,Hjuvik,128.0,6.0,,8500000.0,4 may 2022,-7.0,,Villa,63.0
Famngatan 16 lägenhet 2274-1506,Göteborgs kommun,Högsbo,29.0,1.0,1598.0,1850000.0,4 may 2022,0.0,63793.0,Lägenhet,
Plåtmyntsgatan 27,Göteborgs kommun,Högsbo,54.0,2.0,4198.0,2097000.0,4 may 2022,5.0,38833.0,Lägenhet,
Växelmyntsgatan 3B,Göteborgs kommun,Högsbo,106.0,5.0,,5100000.0,4 may 2022,3.0,,Radhus,0
"Götaverksgatan 20, Vån 12 / 16",Göteborgs kommun,Lindholmen,34.5,1.0,2483.0,2700000.0,4 may 2022,10.0,78261.0,Lägenhet,
Kungsgatan 9B,Göteborgs kommun,Kungshöjd,100.0,3.0,3038.0,8425000.0,4 may 2022,17.0,84250.0,Lägenhet,
Haga Östergata 18,Göteborgs kommun,Haga,60.3,2.0,1992.0,4100000.0,4 may 2022,3.0,67993.0,Lägenhet,
Gröna gatan 49,Göteborgs kommun,Majorna,54.0,2.0,4050.0,2700000.0,4 may 2022,10.0,50000.0,Lägenhet,
Toredalsgatan 56,Göteborgs kommun,Lundby,100.0,4.0,,5100000.0,4 may 2022,-2.0,,Villa,70.0
Stampgatan 62,Göteborgs kommun,Stampen,60.3,2.0,3051.0,3460000.0,4 may 2022,9.0,57380.0,Lägenhet,
Musikvägen 32,Göteborgs kommun,Kaverös,70.0,3.0,4139.0,2195000.0,4 may 2022,0.0,31357.0,Lägenhet,
Norumsgärde 65,Göteborgs kommun,Tuve,108.0,4.0,,3500000.0,4 may 2022,-7.0,,Radhus,54.0
Svängrumsgatan 26,Göteborgs kommun,Flatås,42.5,1.5,1852.0,2200000.0,4 may 2022,,51765.0,Lägenhet,
Sånggången 130,Göteborgs kommun,Säve - Gunnesby Koloniområde,,,,800000.0,4 may 2022,-3.0,,Fritidshus,0
Egnahemsvägen 20D,Göteborgs kommun,Landala Egnahem,34.1,1.0,1590.0,2900000.0,4 may 2022,17.0,85044.0,Lägenhet,
Vallhamnsgatan 46,Göteborgs kommun,Näset Åkered,120.0,4.0,,5900000.0,4 may 2022,0.0,,Radhus,10.0
Bäckedalsvägen 19,Göteborgs kommun,Tuve,180.0,6.0,,7925000.0,4 may 2022,7.0,,Villa,130.0
Stabbegatan 36,Göteborgs kommun,Björkekärr,62.0,3.0,4376.0,3300000.0,4 may 2022,,53226.0,Lägenhet,
Olbersgatan 12D,Göteborgs kommun,Kålltorp,61.3,2.0,3852.0,3827500.0,4 may 2022,10.0,62439.0,Lägenhet,
Sveagatan 24,Göteborgs kommun,Linnéstaden,80.0,3.0,4800.0,6600000.0,4 may 2022,14.0,82500.0,Lägenhet,
Fridhemsgatan 29B,Göteborgs kommun,Sandarna,47.0,2.0,3750.0,2830000.0,4 may 2022,11.0,60213.0,Lägenhet,
Orkestergatan 1,Göteborgs kommun,Kaverös,45.0,1.5,1505.0,2200000.0,4 may 2022,10.0,48889.0,Lägenhet,
Gräsmånadsgatan 45,Göteborgs kommun,Kortedala,116.0,4.0,7306.0,2575000.0,4 may 2022,0.0,22198.0,Radhus,0
Stafettgatan 4B,Göteborgs kommun,Lunden,26.0,1.0,2044.0,2030000.0,4 may 2022,13.0,78077.0,Lägenhet,
Långängen 1B,Göteborgs kommun,Kvillebäcken,70.6,3.0,4101.0,3810000.0,3 may 2022,16.0,53966.0,Lägenhet,
Schottisvägen 1,Göteborgs kommun,Angered - Agnesberg,63.0,2.0,2940.0,1300000.0,3 may 2022,13.0,20635.0,Lägenhet,
Kärnvedsgatan 14,Göteborgs kommun,Björkekärr,166.0,5.0,,8750000.0,3 may 2022,-3.0,,Villa,4.0
Mårbackagatan 9,Göteborgs kommun,Hisings Backa,78.2,3.0,5454.0,2200000.0,3 may 2022,7.0,28133.0,Lägenhet,
Körkarlens gata 28,Göteborgs kommun,Hisings Backa,74.3,3.0,5150.0,2200000.0,3 may 2022,10.0,29610.0,Lägenhet,
Sandrevelsvägen 1,Göteborgs kommun,Skogome,34.2,1.0,2436.0,1295000.0,3 may 2022,0.0,37865.0,Lägenhet,
Monsungatan 92A,Göteborgs kommun,Eriksberg,79.0,3.0,2731.0,6800000.0,3 may 2022,8.0,86076.0,Lägenhet,
Sägengatan 3,Göteborgs kommun,Hisings Backa,80.6,3.0,5566.0,2270000.0,3 may 2022,16.0,28164.0,Lägenhet,
Turkosgatan 9,Göteborgs kommun,Tynnered,77.8,3.0,4866.0,2455000.0,3 may 2022,3.0,31555.0,Lägenhet,
Övralidsgatan 21,Göteborgs kommun,Hisings Backa,38.0,1.5,2939.0,1475000.0,3 may 2022,-2.0,38816.0,Lägenhet,
Regnvädersgatan 1,Göteborgs kommun,Biskopsgården,72.0,3.0,3978.0,1950000.0,3 may 2022,,27083.0,Lägenhet,
Kadettgatan 3,Göteborgs kommun,Kviberg,92.0,4.0,5472.0,4400000.0,3 may 2022,,47826.0,Lägenhet,
Astris Gata 68,Göteborgs kommun,Eriksberg,61.0,2.5,3162.0,3150000.0,3 may 2022,2.0,51639.0,Lägenhet,
Ingefärsgatan 47,Göteborgs kommun,Lövgärdet,135.0,6.0,5970.0,2755000.0,3 may 2022,6.0,20407.0,Radhus,0
Norra Lysevägen 67,Göteborgs kommun,Torslanda - Amhult,60.0,2.0,3401.0,3330000.0,3 may 2022,,55500.0,Lägenhet,
Övre Hallegatan 54,Göteborgs kommun,Hisingen,83.0,3.5,4950.0,3300000.0,3 may 2022,2.0,39759.0,Lägenhet,
Fredriksdalsgatan 6A,Göteborgs kommun,Almedal/Johanneberg,83.0,4.0,5023.0,4000000.0,3 may 2022,0.0,48193.0,Lägenhet,
Gropens Lillgata 22,Göteborgs kommun,Angered,85.0,4.0,4887.0,2250000.0,3 may 2022,13.0,26471.0,Lägenhet,
Helmutsrogatan 5A,Göteborgs kommun,Johanneberg - Almedal,56.0,2.0,3654.0,2975000.0,3 may 2022,6.0,53125.0,Lägenhet,
Saffransgatan 1 C,Göteborgs kommun,Angered,104.0,4.0,5869.0,1950000.0,3 may 2022,3.0,18750.0,Lägenhet,
Valåsgatan 26,Göteborgs kommun,Lunden,157.0,,,13300000.0,3 may 2022,0.0,,Villa,71.0
Doktor Hjorts gata 4 C,Göteborgs kommun,Södra Guldheden,54.5,2.0,3454.0,3150000.0,3 may 2022,3.0,57798.0,Lägenhet,
Fastlagsgatan 12,Göteborgs kommun,Kortedala,54.0,2.0,3980.0,1650000.0,2 may 2022,10.0,30556.0,Lägenhet,
Titteridammshöjden 29,Göteborgs kommun,Angered,135.8,4.0,4605.0,3000000.0,2 may 2022,7.0,22091.0,Radhus,0
Lilla Marconigatan 5,Göteborgs kommun,Frölunda Torg - Cityhusen,65.0,2.0,3405.0,3026000.0,2 may 2022,21.0,46554.0,Lägenhet,
Kallebäcksvägen 17B,Göteborgs kommun,Kallebäck,121.0,5.0,5681.0,3900000.0,2 may 2022,,32231.0,Lägenhet,
Famngatan 8 lägenhet 2233-1110,Göteborgs kommun,Högsbo,29.0,1.0,1598.0,1525000.0,2 may 2022,0.0,52586.0,Lägenhet,
Lillatorpsgatan 1A,Göteborgs kommun,Örgryte,47.0,2.0,2350.0,2815000.0,2 may 2022,10.0,59894.0,Lägenhet,
Klåvavägen 70,Göteborgs kommun,Nya Hovås,36.5,1.0,2347.0,2495000.0,2 may 2022,0.0,68356.0,Lägenhet,
Famngatan 16 lägenhet 2224-1001,Göteborgs kommun,Högsbo,60.0,2.0,2975.0,2600000.0,2 may 2022,-5.0,43333.0,Lägenhet,
Stratosfärgatan 32,Göteborgs kommun,Göteborg,119.0,5.0,,3580000.0,2 may 2022,2.0,,Radhus,18.0
Engelbrektsgatan 12,Göteborgs kommun,Vasastaden,70.0,2.0,2657.0,4850000.0,2 may 2022,8.0,69286.0,Lägenhet,
Skepparegången 16,Göteborgs kommun,Nya Masthugget,57.0,1.0,3003.0,2630000.0,2 may 2022,5.0,46140.0,Lägenhet,
Ebbe Lieberathsgatan 16C,Göteborgs kommun,Johanneberg Almedal,53.5,2.0,3024.0,3200000.0,2 may 2022,,59813.0,Lägenhet,
Paradisgatan 18,Göteborgs kommun,Gamla Masthugget,59.6,2.0,3608.0,3300000.0,2 may 2022,5.0,55369.0,Lägenhet,
Carl Skottsbergs gata 110B,Göteborgs kommun,Änggården,55.0,2.0,3758.0,3990000.0,2 may 2022,,72545.0,Lägenhet,
Sörhallspromenaden 19,Göteborgs kommun,Sannegårdshamnen,165.0,6.0,,11400000.0,2 may 2022,17.0,,Villa,0
Kransen 2A,Göteborgs kommun,Strömmensberg,67.2,2.0,4818.0,1950000.0,2 may 2022,0.0,29018.0,Lägenhet,
Träringen 24,Göteborgs kommun,Björkekärr,64.0,3.0,4248.0,3250000.0,2 may 2022,,50781.0,Lägenhet,
Engelbrektsgatan 57,Göteborgs kommun,Lorensberg,130.5,4.0,5925.0,11500000.0,2 may 2022,16.0,88123.0,Lägenhet,
Örnehufvudsgatan 17,Göteborgs kommun,Johanneberg,50.0,2.0,3250.0,3450000.0,1 may 2022,2.0,69000.0,Lägenhet,
Kniparedsvägen 64,Göteborgs kommun,Knipared - Olofstorp,114.0,6.0,,4500000.0,1 may 2022,0.0,,Villa,33.0
Eklandagatan 67A,Göteborgs kommun,Johanneberg,45.0,2.0,2397.0,2900000.0,1 may 2022,12.0,64444.0,Lägenhet,
Frida Hjertbergs Gata 14,Göteborgs kommun,Johanneberg,52.5,2.0,2146.0,4050000.0,1 may 2022,4.0,77143.0,Lägenhet,
Carlandersplatsen 4,Göteborgs kommun,Lorensberg - Johanneberg,191.0,5.5,8673.0,13450000.0,1 may 2022,4.0,70419.0,Lägenhet,
Önneredsvägen 107,Göteborgs kommun,Önnered,80.0,3.0,5366.0,3840000.0,1 may 2022,22.0,48000.0,Lägenhet,
Solventilsgatan 1,Göteborgs kommun,Centrala Hisingen Kvillebäcken,39.0,1.0,2468.0,2237500.0,1 may 2022,-2.0,57372.0,Lägenhet,
Wrangels Trappgata 2,Göteborgs kommun,Lunden,48.0,1.0,2936.0,2950000.0,30 april 2022,18.0,61458.0,Lägenhet,
Skogens gård 3,Göteborgs kommun,Torslanda - Centralt,130.0,5.0,,6100000.0,30 april 2022,-3.0,,Villa,0
Hedtångsvägen 25,Göteborgs kommun,Nya Hovås,42.0,1.0,2519.0,2785000.0,30 april 2022,0.0,66310.0,Lägenhet,
Norra Lysevägen 21,Göteborgs kommun,Torslanda - Andalen,69.6,3.0,3874.0,4000000.0,30 april 2022,0.0,57471.0,Lägenhet,
Famngatan 8 lägenhet 2223-1008,Göteborgs kommun,Högsbo,29.0,1.0,1598.0,1495000.0,30 april 2022,0.0,51552.0,Lägenhet,
Brunnehagen 71,Göteborgs kommun,Tuve,118.0,5.0,,4610000.0,30 april 2022,7.0,,Radhus,0
Jöns Rundbäcks Plats 3,Göteborgs kommun,Kvillebäcken,48.5,2.0,3375.0,2565000.0,30 april 2022,12.0,52887.0,Lägenhet,
Humlekärret 72,Göteborgs kommun,Billdal,83.0,3.0,5652.0,4230000.0,30 april 2022,6.0,50964.0,Lägenhet,
Ersåsbacken 70,Göteborgs kommun,Önnered,65.0,2.0,5354.0,3350000.0,30 april 2022,12.0,51538.0,Lägenhet,
Persmässogatan 13,Göteborgs kommun,Utby,75.0,,,6110000.0,29 april 2022,31.0,,Villa,75.0
Björnåsgatan 20,Göteborgs kommun,Fiskebäck,140.0,6.0,,8525000.0,29 april 2022,8.0,,Villa,136.0
Fastlagsgatan 49,Göteborgs kommun,Kortedala,52.5,2.0,3908.0,1600000.0,29 april 2022,7.0,30476.0,Lägenhet,
Kobergsgatan 12,Göteborgs kommun,Strömmensberg,38.5,2.0,2655.0,2375000.0,29 april 2022,8.0,61688.0,Lägenhet,
Lokattsbacken 24,Göteborgs kommun,Hagen,155.0,5.0,,8710000.0,29 april 2022,10.0,,Radhus,15.0
Tyrsjövägen 32,Göteborgs kommun,Olofstorp - Knipared,95.0,3.0,,5320000.0,29 april 2022,4.0,,Villa,69.0
Traneredsvägen 35B,Göteborgs kommun,Västra Frölunda,81.0,3.5,3475.0,4275000.0,29 april 2022,9.0,52778.0,Lägenhet,
Walter Bengtssons Gata 18,Göteborgs kommun,Majorna,66.5,3.0,3650.0,4550000.0,29 april 2022,1.0,68421.0,Lägenhet,
Furuslätten 48,Göteborgs kommun,Billdal,118.0,6.0,,6175000.0,29 april 2022,5.0,,Radhus,30.0
Badvädersgatan 19,Göteborgs kommun,Biskopsgården,53.6,2.0,3675.0,1325000.0,29 april 2022,11.0,24720.0,Lägenhet,
Bäckebolslyckan 17,Göteborgs kommun,Hisings Backa,73.0,3.0,5255.0,1780000.0,29 april 2022,0.0,24384.0,Lägenhet,
Kyrkåsgatan 6,Göteborgs kommun,Örgryte - Kålltorp,96.0,4.0,4747.0,5950000.0,29 april 2022,0.0,61979.0,Lägenhet,
Batterigatan 11A,Göteborgs kommun,Gamlestaden,37.0,1.0,3085.0,1850000.0,29 april 2022,3.0,50000.0,Lägenhet,
Wingårdsgatan 1B,Göteborgs kommun,Kålltorp,55.0,2.0,3216.0,3200000.0,29 april 2022,0.0,58182.0,Lägenhet,
Penselgatan 10,Göteborgs kommun,Kvillebäcken,61.6,2.0,3865.0,3360000.0,29 april 2022,12.0,54545.0,Lägenhet,
Plåtmyntsgatan 5,Göteborgs kommun,Högsbo,53.5,2.0,4253.0,2300000.0,29 april 2022,0.0,42991.0,Lägenhet,
Kålgårdsgatan 3B,Göteborgs kommun,Kungsladugård,43.0,2.0,3018.0,3075000.0,29 april 2022,10.0,71512.0,Lägenhet,
Iglaslänten 17,Göteborgs kommun,Olofstorp,188.0,7.0,,5700000.0,29 april 2022,0.0,,Villa,0
Monsungatan 82,Göteborgs kommun,Eriksberg,79.0,3.0,4563.0,6520000.0,29 april 2022,9.0,82532.0,Lägenhet,
Ernst Torulfsgatan 17C,Göteborgs kommun,Munkebäck,37.5,1.0,3132.0,2255000.0,29 april 2022,,60133.0,Lägenhet,
Trombongatan 3,Göteborgs kommun,Västra Frölunda,86.0,3.0,5282.0,5300000.0,29 april 2022,,61628.0,Lägenhet,
Engelbrektsgatan 37,Göteborgs kommun,Lorensberg,123.0,3.5,2716.0,9950000.0,29 april 2022,0.0,80894.0,Lägenhet,
Strandridaregatan 16Q,Göteborgs kommun,Kungsladugård,41.0,2.0,2122.0,2900000.0,29 april 2022,12.0,70732.0,Lägenhet,
Övre Olskroksgatan 20,Göteborgs kommun,Bagaregården,91.0,3.0,5288.0,4700000.0,29 april 2022,5.0,51648.0,Lägenhet,
Famngatan 36,Göteborgs kommun,Högsbo,70.0,3.0,4564.0,3240000.0,29 april 2022,0.0,46286.0,Lägenhet,
Bäckegatan 24,Göteborgs kommun,Gamla Masthugget,43.0,2.0,3016.0,3025000.0,29 april 2022,8.0,70349.0,Lägenhet,
Lindholmsvägen 12,Göteborgs kommun,Lindholmen,141.0,5.0,9414.0,4495000.0,29 april 2022,0.0,31879.0,Lägenhet,
Masthuggsliden 16,Göteborgs kommun,Masthugget,24.5,1.0,1751.0,2325000.0,29 april 2022,26.0,94898.0,Lägenhet,
Västra Stillestorpsgatan 13,Göteborgs kommun,Centrala Hisingen,77.5,3.0,5373.0,2705000.0,29 april 2022,0.0,34903.0,Lägenhet,
Götaverksgatan 24,Göteborgs kommun,Lindholmen,89.0,3.0,4770.0,5600000.0,29 april 2022,,62921.0,Lägenhet,
Grevebergsgatan 11D,Göteborgs kommun,Önnered,143.0,6.0,,8100000.0,29 april 2022,12.0,,Villa,101.0
Östra Eriksbergsgatan 73,Göteborgs kommun,Eriksberg,56.9,2.0,2955.0,3090000.0,29 april 2022,0.0,54306.0,Lägenhet,
Stampgatan 58c,Göteborgs kommun,Stampen,59.5,2.0,2760.0,3100000.0,29 april 2022,27.0,52101.0,Lägenhet,
Seglaregatan 4,Göteborgs kommun,Majorna,63.7,2.5,5392.0,3200000.0,29 april 2022,7.0,50235.0,Lägenhet,
Sixten Camps gata 2,Göteborgs kommun,Nya Gårda,101.5,4.0,4333.0,6500000.0,29 april 2022,,64039.0,Lägenhet,
Allmänna Vägen 52 B,Göteborgs kommun,Majorna,64.1,2.0,4039.0,4010000.0,29 april 2022,10.0,62559.0,Lägenhet,
Vädursgatan 4B,Göteborgs kommun,Gårda,105.0,4.0,5410.0,5800000.0,29 april 2022,0.0,55238.0,Lägenhet,
"Lodjursstråket 1 (Karlatornet, vån 24)",Göteborgs kommun,Lindholmen,25.0,1.0,2261.0,2500000.0,29 april 2022,0.0,100000.0,Lägenhet,
Bisittaregatan 1 B,Göteborgs kommun,Kålltorp,33.0,1.0,2139.0,2200000.0,29 april 2022,5.0,66667.0,Lägenhet,
Önskevädersgatan 37,Göteborgs kommun,Biskopsgården,69.4,3.0,4186.0,1560000.0,28 april 2022,-2.0,22478.0,Lägenhet,
Västra Stillestorpsgatan 23,Göteborgs kommun,Centrala Hisingen,80.0,3.0,5268.0,3100000.0,28 april 2022,4.0,38750.0,Lägenhet,
Fornborgsgatan 47,Göteborgs kommun,Torslanda - Centralt,67.0,2.5,3813.0,2850000.0,28 april 2022,6.0,42537.0,Lägenhet,
Fräntorpsgatan 13,Göteborgs kommun,Fräntorp,136.0,7.0,,5680000.0,28 april 2022,-1.0,,Villa,69.0
Virvelvindsgatan 30,Göteborgs kommun,Centrala Hisingen,107.0,4.0,6479.0,3230000.0,28 april 2022,8.0,30187.0,Lägenhet,
Mattssonsliden 6,Göteborgs kommun,Masthugget,47.0,2.0,2765.0,2700000.0,28 april 2022,8.0,57447.0,Lägenhet,
Famngatan 8 lägenhet 2150-1302,Göteborgs kommun,Högsbo,29.0,1.0,1598.0,1725000.0,28 april 2022,0.0,59483.0,Lägenhet,
Solliden 15,Göteborgs kommun,Askim,155.0,6.0,,11600000.0,28 april 2022,13.0,,Villa,77.0
Eklandagatan 23C,Göteborgs kommun,Johanneberg,52.5,3.0,3657.0,3450000.0,28 april 2022,0.0,65714.0,Lägenhet,
Cederflychts gata 9,Göteborgs kommun,Hisings Backa,66.1,2.0,4518.0,1580000.0,28 april 2022,2.0,23903.0,Lägenhet,
Scholandersgatan 7B,Göteborgs kommun,Tolered,58.7,2.5,4065.0,2400000.0,28 april 2022,12.0,40886.0,Lägenhet,
De Geersgatan 18,Göteborgs kommun,Lunden,73.5,4.0,4634.0,4600000.0,28 april 2022,,62585.0,Lägenhet,
Akkas gata 18,Göteborgs kommun,Hisings Backa,62.5,2.0,4434.0,1550000.0,28 april 2022,2.0,24800.0,Lägenhet,
Toleredsgatan 15,Göteborgs kommun,Tolered,54.5,2.0,4382.0,1975000.0,28 april 2022,0.0,36239.0,Lägenhet,
Karlagatan 12A,Göteborgs kommun,Lunden,62.0,2.0,3793.0,3195000.0,28 april 2022,8.0,51532.0,Lägenhet,
Kvillegatan 19,Göteborgs kommun,Brämaregården,30.0,1.0,1400.0,2150000.0,28 april 2022,8.0,71667.0,Lägenhet,
Hökegatan 14,Göteborgs kommun,Olskroken,80.0,3.0,4239.0,4700000.0,28 april 2022,13.0,58750.0,Lägenhet,
Svartlavsvägen 28,Göteborgs kommun,Askim,117.0,7.0,,10100000.0,28 april 2022,5.0,,Villa,117.0
Kallebäcksvägen 17A,Göteborgs kommun,Göteborg,80.0,3.0,3814.0,3250000.0,28 april 2022,10.0,40625.0,Lägenhet,
Plåtmyntsgatan 17,Göteborgs kommun,Högsbo,55.0,2.0,4292.0,2450000.0,28 april 2022,17.0,44545.0,Lägenhet,
Tredje långgatan 37,Göteborgs kommun,Linné,57.0,2.0,2967.0,3600000.0,28 april 2022,9.0,63158.0,Lägenhet,
Almhöjdsvägen 80,Göteborgs kommun,Tuve,178.0,7.0,,7300000.0,28 april 2022,13.0,,Radhus,105.0
Balsamingatan 1C,Göteborgs kommun,Kålltorp,39.0,1.5,2203.0,2500000.0,28 april 2022,9.0,64103.0,Lägenhet,
"Olivedalsgatan 10, lgh 2",Göteborgs kommun,Linné,32.0,1.5,673.0,3225000.0,28 april 2022,8.0,100781.0,Lägenhet,
Carl Larssonsgatan 6C,Göteborgs kommun,Kärralund,35.5,1.0,2706.0,2610000.0,28 april 2022,16.0,73521.0,Lägenhet,
Fredriksdalsgatan 8A,Göteborgs kommun,Johanneberg Almedal,55.2,2.0,3488.0,3150000.0,28 april 2022,15.0,57065.0,Lägenhet,
Hedåsgatan 6 B,Göteborgs kommun,Lorensberg,41.0,1.0,1510.0,3750000.0,28 april 2022,15.0,91463.0,Lägenhet,
Galeasgatan 23,Göteborgs kommun,Västra Frölunda,174.0,6.0,,10450000.0,28 april 2022,0.0,,Villa,42.0
Godhemsgatan 3 D,Göteborgs kommun,Kungsladugård,55.0,2.0,2806.0,3550000.0,28 april 2022,1.0,64545.0,Lägenhet,
Karl Johansgatan 62,Göteborgs kommun,Majorna,47.0,2.0,3404.0,3300000.0,28 april 2022,16.0,70213.0,Lägenhet,
Fjällgatan 3 L,Göteborgs kommun,Gamla Masthugget,36.0,1.0,2618.0,2730000.0,28 april 2022,16.0,75833.0,Lägenhet,
Smörslottsgatan 59,Göteborgs kommun,Björkekärr,79.2,3.0,5668.0,3995000.0,27 april 2022,0.0,50442.0,Lägenhet,
Modellörsgatan 4 D,Göteborgs kommun,Kålltorp,103.0,5.0,5569.0,7250000.0,27 april 2022,12.0,70388.0,Lägenhet,
Ahrenbergsgatan 26B,Göteborgs kommun,Munkebäck,55.5,2.0,3205.0,2800000.0,27 april 2022,,50450.0,Lägenhet,
Vinlandsgatan 3E,Göteborgs kommun,Centrala Hisingen Tolered,130.0,5.0,,4660000.0,27 april 2022,17.0,,Radhus,0
Skillnadsgatan 55,Göteborgs kommun,Örgryte Bö,113.0,4.0,4500.0,7100000.0,27 april 2022,10.0,62832.0,Lägenhet,
Grafiska vägen 4A,Göteborgs kommun,Johanneberg - Almedal,34.0,1.0,2130.0,2350000.0,27 april 2022,7.0,69118.0,Lägenhet,
Solventilsgatan 18,Göteborgs kommun,Kvillebäcken,39.0,1.0,2357.0,2300000.0,27 april 2022,11.0,58974.0,Lägenhet,
Chalmersgatan 25B,Göteborgs kommun,Lorensberg,66.0,2.0,2772.0,4600000.0,27 april 2022,2.0,69697.0,Lägenhet,
Björnekärrsgatan 6D,Göteborgs kommun,Gamlestaden,39.0,1.0,2586.0,1930000.0,27 april 2022,8.0,49487.0,Lägenhet,
